Row,Field Name,Type,Value,Lower Bound,Upper Bound,Units,Plot Label,Std. Dev.,95% C.I.
1,A01,variable,15,0.1,100,arb. unit,A_{01},0,0
2,A12,variable,15,0.1,100,arb. unit,A_{12},0,0
3,w_01,variable,2153.3,2152,2156,cm^{-1},\omega_{01},0,0
4,cal_err,variable,-0.3,-5,5,cm^{-1},\delta\omega_1,0,0
5,Anh,variable,25.5,24,28,cm^{-1},\Delta_{Anh},0,0
6,kubo_anh_fctr,variable,1,0.5,1.5,unitless,\beta,0,0
7,T_LT_inv,variable,0.013,0.01,0.02,ps^{-1},T_{LT}^{-1},0,0
8,T_hom_inv,variable,0.4,0.1,2,ps^{-1},T_{Hom}^{-1},0,0
9,kubo1_t,variable,1,0.1,20,ps,\tau_1,0,0
10,kubo1_D2,variable,15,0,50,cm^{-2},\Delta_1^2,0,0
