Row,Field Name,Type,Value,Lower Bound,Upper Bound,Units,Plot Label,Std. Dev.,95% C.I.
1,A01,variable,6.39E-05,1.00E-05,0.001,arb. unit,A_{01},6.82E-08,1.34E-07
2,A12,variable,6.61E-05,1.00E-05,0.001,arb. unit,A_{12},7.03E-08,1.38E-07
3,w_01,variable,2163.437808,2161,2165,cm^{-1},\omega_{01},0.002196652,0.004305364
4,cal_err,variable,-0.423825069,-5,5,cm^{-1},\delta\omega_1,0.002682185,0.005256992
5,Anh,variable,25.84639097,24,28,cm^{-1},\Delta_{Anh},0.003769319,0.007387736
6,kubo_anh_fctr,variable,1.199809973,0.5,1.5,unitless,\beta,0.000943589,0.001849403
7,T_LT_inv,constant,0.03,0.01,0.4,ps^{-1},T_{LT}^{-1},NaN,NaN
8,T_hom_inv,variable,0.220193764,0.1,2,ps^{-1},T_{Hom}^{-1},0.002210229,0.004331973
9,kubo1_t,variable,1.030127954,0.1,20,ps,\tau_1,0.004521876,0.008862722
10,kubo1_D2,variable,32.10936547,0,50,cm^{-2},\Delta_1^2,0.16060694,0.31478414
11,phi,constant,0,-30,30,°,\phi,0,0
