Row,Field Name,Type,Value,Lower Bound,Upper Bound,Units,Plot Label,Std. Dev.,95% C.I.
1,A01,variable,8.02141759792103e-05,1e-05,0.001,arb. unit,A_{01},6.54796188408537e-07,1.28337826474914e-06
2,A12,variable,5.61340545187964e-05,1e-05,0.001,arb. unit,A_{12},5.37243550169412e-07,1.05297909085247e-06
3,w_01,variable,2163.55814496721,2161,2165,cm^{-1},\omega_{01},0.0164660089939458,0.0322728177470839
4,cal_err,variable,-0.566269117974756,-5,5,cm^{-1},\delta\omega_1,0.0210540763227214,0.0412652737069563
5,Anh,variable,25.8362128312596,24,28,cm^{-1},\Delta_{Anh},0.0296078483519475,0.0580303760369027
6,kubo_anh_fctr,variable,0.975970350982598,0.5,1.5,unitless,\beta,0.00543294169352888,0.0106483809871753
7,T_LT_inv,constant,0.03,0.01,0.4,ps^{-1},T_{LT}^{-1},NaN,NaN
8,T_hom_inv,variable,0.264454085144154,0.1,2,ps^{-1},T_{Hom}^{-1},0.0191358647539655,0.0375056442556687
9,kubo1_t,variable,0.940451301672211,0.1,20,ps,\tau_1,0.0358441758850713,0.0702533659527727
10,kubo1_D2,variable,36.1351955584067,0,50,cm^{-2},\Delta_1^2,1.5408243266113,3.01996328869266
