Row,Field Name,Type,Value,Lower Bound,Upper Bound,Units,Plot Label,Std. Dev.,95% C.I.
1,A01,variable,0.0001,5.00E-05,0.0002,arb. unit,A_{01},0,0
2,A12,variable,0.0001,5.00E-05,0.0002,arb. unit,A_{12},0,0
3,w_01,variable,2080,2079,2081,cm^{-1},\omega_{01},0,0
4,cal_err,variable,0,-1,1,cm^{-1},\delta\omega_1,0,0
5,Anh,variable,25,24,26,cm^{-1},\Delta_{Anh},0,0
6,kubo_anh_fctr,variable,1,0.5,1.5,unitless,\beta,0,0
7,T_LT_inv,variable,0.0333,0.01,0.1,ps^{-1},T_{LT}^{-1},0,0
8,T_hom_inv,variable,0.53,0.2,1,ps^{-1},T_{Hom}^{-1},0,0
9,kubo1_t,variable,10,0.1,50,ps,\tau_1,0,0
10,kubo1_D2,variable,16,0,50,cm^{-2},\Delta_1^2,0,0
11,kubo2_t,constant,1000,100,3000,ps,\tau_2,0,0
12,kubo2_D2,variable,9,0,50,cm^{-2},\Delta_2^2,0,0
13,phi,variable,0,-15,15,°,\phi,0,0
