Row,Field Name,Type,Value,Lower Bound,Upper Bound,Units,Plot Label,Std. Dev.,95% C.I.
1,A01,variable,0.0001,1e-05,0.001,arb. unit,A_{01},6.56e-08,1.29e-07
2,A12,variable,0.0001,1e-05,0.001,arb. unit,A_{12},6.82e-08,1.34e-07
3,w_01,variable,2155,2153,2157,cm^{-1},\omega_{01},0.002178224,0.004269245
4,cal_err,variable,0,-5,5,cm^{-1},\delta\omega_1,0.002624279,0.005143497
5,Anh,variable,25,23,27,cm^{-1},\Delta_{Anh},0.003719958,0.00729099
6,kubo_anh_fctr,variable,1,0.5,1.5,unitless,\beta,0.000792688,0.001553641
7,T_LT_inv,variable,0.03,0.01,0.4,ps^{-1},T_{LT}^{-1},NaN,NaN
8,T_hom_inv,variable,0.31,0.1,2,ps^{-1},T_{Hom}^{-1},0.002105601,0.004126906
9,kubo1_t,variable,0.4,0.1,2,ps,\tau_1,0.003568386,0.006993914
10,kubo1_D2,variable,33.34,0,60,cm^{-2},\Delta_1^2,0.170011263,0.33321627
11,kubo2_t,variable,1.7,1,50,units,\tau_2,0,0
12,kubo2_D2,variable,6.76,0.1,60,units,\Delta_2^2,0,0
